qstr_Breaking_camp...|Lager wird abgebrochen ...
qstr_Your_men_think_that_|Eure Männer glauben, dass Egil ein guter Anführer sein könnte.
; qstr___He_seems_surprised|--He seems surprised, but the surprise is soon overtaken by intense anger.--
qstr_Your_men_think_that_y|Eure Männer glauben, dass Ihr ein starker Anführer seid, aber sie werden das Charisma Egils vermissen.
; qstr_Note_Egil:_Reginhard|Note Egil: Reginhard betrayed you at the Assembly, but you spared his life. However, Egil did not accept your decision, and you had to kill him in a holmgang by the laws of Thing.^In the end, you drove Reginhard out of your party, unable to forgive his betrayal.
; qstr_Note_Egil:_Reginhard_|Note Egil: Reginhard betrayed you at the Assembly, but you spared his life. However, Egil did not accept your decision, and you had to kill him in a holmgang by the laws of Thing.^In the end, you killed Reginhard, too, unable to forgive his betrayal.
; qstr_Note_Egil:_Reginhard_b|Note Egil: Reginhard betrayed you at the Assembly, but you spared his life. However, Egil did not accept your decision, and you had to kill him in a holmgang by the laws of Thing.^You forgave Reginhard of treason and let him remain in your company.
; qstr___Reginhard_gathers_|--Reginhard gathers his things and leaves.--
; qstr_Your_men_think_that_yo|Your men think that you are a weak leader who can't punish treachery.
; qstr___You_approach_Regin|--You approach Reginhard and slice deep into his neck with a knife. You watch how he collapses, losing blood, until his eyes are closed.--
; qstr_Your_men_think_that_you|Your men think that you are a strong leader who harshly punishes treachery.
; qstr___He_seems_happy_to_|--He seems happy to hear your words.--
; qstr_Your_men_think_that_you_|Your men think that you are a weak leader who allows betrayal.
; qstr___He_pushes_the_jar_|--He pushes the jar aside and drops his head.--
; qstr___He_looks_at_you_wit|--He looks at you with tears in his eyes.--
; qstr_Reginhard_has_joined|Reginhard has joined you. He informs you that Thiaderd and his men are at the foot of the mountains due east of Dorestad. Thiaderd's group is strong. Perhaps you ought to be accompanied by a large group of men who support you.
; qstr_{s21}_seems_unhappy.|{s21} seems unhappy.
; qstr_high|high
; qstr_low|low
; qstr_normal|normal
qstr_Christianity|Christentum
; qstr_Norse_gods|Norse gods
; qstr_The_subjects_of_our_|The subjects of our kingdom officially believe in {s4}. Collected records indicate {reg13} people have adopted our faith.
; qstr_The_subjects_of_our_k|The subjects of our kingdom officially believe in {s4}. Collected records indicate {reg13} people have given up our faith.
; qstr_the_{s12}|the {s12}
; qstr_the_{s11}_and_{s12}|the {s11} and {s12}
; qstr_the_{s11}_{s12}|the {s11}, {s12}
; qstr_We_are_quite_happy_n|We are quite happy not to be at war with anyone.
qstr_We_are_at_war_with_{|Wir befinden uns mit {s12} im Krieg.
; qstr___He_seems_pleased._|--He seems pleased.--
; qstr___He_seems_upset.__|--He seems upset.--
; qstr___He_seems_distresse|--He seems distressed.--
; qstr___He_looks_at_you_with|--He looks at you with his shoulders slumped. He looks dejected.--
; qstr___He_looks_with_grie|--He looks with grief.--
; qstr___He_spits_on_the_gr|--He spits on the ground, his features hard, sadness giving way to anger--
; qstr_Thiaderd_is_dead._Br|Thiaderd is dead. Bring the news to the jarl of {s3}.
; qstr___He_looks_over_your|--He looks over your shoulder into the distance.--
; qstr___He_puts_his_hand_on|--He puts his hand on your shoulder and smiles.--
; qstr___He_turns_away_from|--He turns away from you with a grimace.--
; qstr___He_nods._You_note_|--He nods. You note the concern in his eyes.--
qstr_{playername}_when_we|{playername}, als wir unseren langen Marsch begannen, waren nur wenige mutig genug, mich zu unterstützen. Und noch weniger waren bereit, ihr Leben für meine Sache zu riskieren. Doch Ihr zögertet nicht einen Moment, Euch auf meine Feinde zu werfen. Wir haben viel zusammen durchmacht, und es gab Zeiten, in denen ich nahe daran war, alle Hoffnung fahren zu lassen. Doch mit Gottes Hilfe haben wir alle Ungemach überwunden. Jetzt ist für mich die Zeit gekommen, von Euch zu scheiden und mitzunehmen, was rechtens mein ist. Von nun an werde ich die große Verantwortung tragen, {s3} zu regieren. Viele Herausforderungen liegen noch vor uns, und ich zähle zu ihrer Überwindung auf Eure Hilfe. Und natürlich werdet Ihr auf immer mein zuvörderster Vasall sein.
qstr_Find_and_speak_with_|Findet und sprecht mit {s3} von {s4}, um ihm Euren Treueschwur zu leisten.
; qstr__We_will_of_course_n| We will of course need to wait until the realm is no longer on campaign.
; qstr_I_do_not_like_this_b|I do not like this, but things are very bad. Can you give guarantees?
; qstr_Well_I_guess_I_can_a|Well, I guess I can admit defeat. I guess you will treat us well, no?
; qstr_Perhaps..._Do_you_gi|Perhaps... Do you give your word of honour that we'll be treated well?
; qstr_There_comes_a_time_w|There comes a time when every good leader must be responsible for the welfare of his men. Do you give your word of honour that we'll be treated well?
; qstr_The_fort_has_been_de|The fort has been defended by lions, and we leave it with our heads high. You can guarantee our safety?
; qstr_Well_I_guess_I_can_ad|Well, I guess I can admit defeat. We will leave the fort, but I want your promise that you will not attack us.
; qstr_We_are_ready_to_leav|We are ready to leave this fort to you and march away if you give me your word of honour that you'll let us leave unmolested.
; qstr_There_comes_a_time_wh|There comes a time when every good leader must be responsible for the welfare of his men. We leave the fort. I want your promise that you will not attack us.
qstr_You_re_nothing_but_s|Ihr seid nichts als Abschaum. Verschwinde oder wir töten Euch.
; qstr_You_re_wasting_your_|You're wasting your time. Attack us -- if you have the courage.
; qstr_You_have_called_me_f|You have called me for this? We would never surrender to the likes of you.
; qstr_Surrender?_Hah!_We_c|Surrender? Hah! We can hold these walls until we all die of old age, while you most assuredly won't.
qstr_8000|8000
qstr_5000.|5000.
qstr_3000|3000
qstr_2000.|2000.
qstr_1000|1000
qstr_{s6}_has_joined_your|{s6} hat sich Eurem Trupp angeschlossen.
qstr_{s1}_Rebels|{s1} Rebellen
qstr_I_am_{s4}_the_ruler_|Ich bin {s4}, Herrscher von {s6}
qstr_I_am_{s4}_a_vassal_o|Ich bin {s4}, Vasall von {s6}
qstr_{s7}_and_{s8}|{s7} und {s8}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? und Fürst von {s8}.:.
; qstr_My_name_is_{s4}_and_|My name is {s4}, and I come from {s8}. I am looking for adventure and glory on the battlefield.
; qstr___The_ugly_face_of_a|--The ugly face of a smiling man appears before you.--
; qstr_Fergus_Mael_Bresail_|Fergus, Mael Bresail's man at the farm, told you that the feast was prepared for twenty-five people. You must bring more companions.
; qstr_Fergus_Mael_Bresail_s|Fergus, Mael Bresail's man at the farm, told you that the feast was prepared for twenty-five people. You must dismiss or leave the rest of your men at a nearby camp. Then, return to him.
; qstr_Around_you_everybody|Around you, everybody becomes busy on the farm as the feast starts.
; qstr_The_chronicler_has_p|The chronicler has promised to write about your life and proclaim to the world that you are Konungr of the Norse if you subjugate the Norse towns: {s3}, {s9} and {s11}.
; qstr_The_chronicler_has_pr|The chronicler has promised to write about your life and proclaim to the world that you are the Vrenhin Lloegr if you subjugate the Briton towns: {s3}, {s9} and {s11}.
; qstr_The_chronicler_has_pro|The chronicler has promised to write about your life and proclaim to the world that you are the Ard Ruire of Eriu if you subjugate the Goidelic towns: {s3}, {s9} and {s11}.
; qstr_The_chronicler_has_prom|The chronicler has promised to write about your life and proclaim to the world that you are the Brytenwalda over all Englaland if you subjugate the Angle and Saxon towns: {s3}, {s9} and {s11}.
; qstr_Mael_Bresail_has_use|Mael Bresail has used you to kill Flaithbertach's children. Now, many of the lords of northern Ireland hate you for being a murderer of royalty. Your options are limited, but it seems that all involve meeting with Mael Bresail on his farm near {s3}. He promised to give you a lot of peningas. Whatever you decide at this meeting will determine your destiny.
; qstr_Mael_Bresail_has_used|Mael Bresail has used you to kill Flaithbertach's children. Now, many of the lords of northern Ireland hate you for being a murderer of royalty. Your options are limited, but it seems that all involve meeting with Mael Bresail on his farm near {s3}. Whatever you decide at this meeting will determine your destiny.
; qstr_Note_4:_You_chose_to|Note 4: You chose to spare Mael Bresail's life. Both of you made oaths to not cross ways ever again.
; qstr_Note_4:_Morrigan_for|Note 4: Morrigan forces you to end the life of Mael Bresail.
; qstr_Note_4:_You_killed_M|Note 4: You killed Mael Bresail in revenge for his ambush on the farm.
qstr_Morrigan_has_died._R|Morrigan ist gestorben. Kehre zum Abt zurück um Eure Belohnung, und vielleicht einige Antworten, zu bekommen.
; qstr_Note_3:_You_chose_to|Note 3: You chose to kill Morrigan.
; qstr_Oh_I_m_no_murderer..|Oh, I'm no murderer... I am only trying to help Bal Luighne. (Phlegmatic)
; qstr_My_duty_is_but_to_pr|My duty is but to protect the people of Bal Luighne. (Melancholic)
; qstr_I_am_not_a_murderer.|I am not a murderer. You attacked Bal Luighne, and now I will kill you. (Choleric)
; qstr_My_only_goal_is_to_k|My only goal is to kill you for what you did to Bal Luighne, witch (Sanguine)
qstr_Morrigan_has_joined_|Morrigan ist Eurer Gruppe beigetreten. Kehre zum Abt zurück um Eure Belohnung, und vielleicht einige Antworten, zu bekommen.
; qstr_Note_3:_You_chose_to_|Note 3: You chose to spare the life of Morrigan and seek answers from Mael Bresail. Morrigan has joined your shield wall.
; qstr_My_parents_gave_me_t|My parents gave me the name of {playername}. I am the third champion you were waiting for. (Phlegmatic)
; qstr_Well_I_am_{playernam|Well, I am {playername}, the third champion. (Melancholic)
; qstr_My_name_is_{playerna|My name is {playername}, the third and foremost champion. (Choleric)
; qstr_I_am_{playername}._A|I am {playername}. As the third champion, I feel honored to meet you. (Sanguine)
; qstr_Ah_well_we_were_wait|Ah, well, we were waiting outside the old, burned-out pagan's place. You made us wait quite a long time.
; qstr_Now_you_decide_to_sh|Now you decide to show up. You arrive late.
; qstr_Yes_yes_I_see_and_yo|Yes, yes, I see, and you have grandma. Anyway, we waited several days for your arrival, and I'm not as sure as you that it was worth it.
; qstr_Short_and_polite!_Th|Short and polite! That's fine. Too bad you have not left us time for proper ceremony, late as you are.
; qstr_After_being_defeated|After being defeated by Morrigan, you met the other two champions, Aed and Olchobar. After talking to them, you have parted ways. They will follow Morrigan while you go back to {s3}. It looks like Caliacas has problems.
; qstr_Note_2:_Despite_thei|Note 2: Despite their cowardice and refusal to help defeat Morrigan, you spared the lives of the other two champions in Morrigan's lair.
; qstr_Note_2:_You_chose_ki|Note 2: You chose kill the other champions for their cowardice in Morrigan's lair.
; qstr_Note_3:_Without_rega|Note 3: Without regard to Ulf's rules, you decided to let Egil and Thora have a conversation.
; qstr_Note_3:_You_decided_|Note 3: You decided to respect Ulf's rules and protect the dignity of his daughter, Thora.
; qstr_Note_3:_Without_regar|Note 3: Without regard to Ulf's rules, you decided to have a romance with Thora, his daughter.
; qstr_{s9}_has_good_relati|{s9} has good relations with you.
; qstr___Ulf_seems_very_hap|--Ulf seems very happy. He carries in his hands the sword and chainmail of Orm Svarti.--
; qstr_Thanks_for_sharing_y|Thanks for sharing your drink and your food with us, Ulf. (Phlegmatic)
; qstr_Thanks_for_sharing_yo|Thanks for sharing your drink and your food with us, Ulf. (Melancholic)
; qstr_Sour_milk_and_butter|Sour milk and buttered bread? Don't you have anything better? (Choleric)
; qstr_Sour_milk_and_buttere|Sour milk and buttered bread? We will accept your poor hospitality, but I expected better from a man like you. (Sanguine)
; qstr___He_spits_out_what_|--He spits out what he was eating and throws away his skvr horn.--
; qstr___She_raises_her_han|--She raises her hands, calling for calm.--
; qstr___He_applauds.__|--He applauds.--
; qstr_Your_men_think_that_you_a|Your men think that you are a great leader.
; qstr_{s11}_thinks_that_yo|{s11} thinks that you are a weak leader.
qstr_{s14}|{s14}
; qstr_Your_men_think_that_you_ar|Your men think that you are a weak leader.
; qstr___Both_stop_surprise|--Both stop, surprised by your authoritative tone. Egil turns to you, nervous.--
; qstr_{s11}_thinks_that_you|{s11} thinks that you are a great leader.
; qstr___Ulf_watches_mouth_|--Ulf watches, mouth agape, as Egil and Reginhard, followed by many of your men, assail his warehouse.--
