str_yes|Ja.
str_retirement_text_7|Als adliger Grundbesitzer, egal wie klein, ist Eure Zukunft gesichert. Ihr lasst Euch in eurer Feste bei {s7} nieder, verwaltet das Dorf und die Felder, sprecht Recht in den örtlichen Gerichtshöfen und erfüllt Eure Obliegenschaften an Euren Lehnsherrn. Gelegentlich ruft Euch Euer Lehnsherr zur Hilfe in seinen Feldzügen, aber dies sind nur kurze Begebenheiten, und Ihr kehrt nie wirklich zum Abenteurerleben Eurer Jugend zurück. Ihr habt schon Euer Glück gemacht. Dank Eurer eigenen Grundstücke und Besitztümer gibt es nur wenig, was Ihr Euch mit Eurem persönlichen Reichtum und den Einkünften von Euren Ländereien nicht leisten könnt.
str_retirement_text_8|Zweifelsohne habt Ihr es zu etwas gebracht. Eure ausgedehnten Besitztümer und der Reichtum aus Eurem Abenteurerleben reichen aus, um Euch ein reiches und unbeschwertes Leben für den Rest Eurer Tage zu garantieren. Mit dem Ruhestand auf Eurem Adelssitz in {s8} tauscht Ihr Abenteuer gegen Politik aus, und bald schon etabliert Ihr Euch als eine beträchtliche Machtperson im Königreich Eures Lehnsherrn. Mit all den interessanten Intrigen, Euren eigenen Waldgebieten zur Jagd, einer Halle für Gelage und Hunderten ausgesuchter Kriegsgeschichten im Säckel werdet Ihr wenig Schwierigkeiten haben, Eure weiteren Jahre aufs Allerfeinste auszuleben.
str_retirement_text_9|Als Belohnung für Eure kompetenten und loyalen Dienste überträgt Euer Lehnsherr Euch einen vererbbaren Titel, was Euch zu den Reihen des Hochadels des Reiches aufschließen lässt. Bald schon beendet Ihr Eure Investitur als Baron von {s7} und werdet zu einem der engsten Berater und Adjutanten Eures Lehnsherrns. Euer Ruf sorgt für subtiles Fädenziehen und großen Einfluss hinter den Kulissen, als auch für offene politische Macht. Nun verbringt Ihr Eure Tage mit Machtspielen, mit der Verwaltung Eurer großen Lehen und damit, die alten Zeiten der Abenteuer und des Ruhmes wieder aufleben zu lassen.
str_retirement_text_10|Trotz Eurer bescheidenen Ursprünge hält Euer Lehnsherr Euch in hohen Ehren, und eine Schockwelle geht durch das Reich, als er Euch den vererbbaren Titel {reg59?ducessa:dux} von {s9} überträgt. Gewaltige Lehen und Reichtümer sind nun unter Eurer Regentschaft. Schnell werdet Ihr zum meistvertrauten Berater Eures Lehnsherrns, fast schon seines Gleichen, und mit der Verwaltung eines Großteils seines Reichs betraut. Ihr sitzt auf einem Thron in Eurem eigenen opulenten Palast als eine der mächtigsten Figuren in ganz Britannien und Hibernia.
str_loot_village|unschuldige Menschen angreifen
str_steal_from_villagers|arme Leute bestehlen
str_rob_caravan|bestehlen einer Händler-Karawane
str_sell_slavery|Menschen in die Sklaverei verkaufen
str_men_hungry|Nahrung geht zur Neige
str_men_unpaid|Ihr seid nicht in der Lage den Sold zu bezahlen
str_excessive_casualties|macht aus jeder Schlacht ein Blutbad für unsere Seite
str_surrender|ergebt Euch dem Feind.
str_flee_battle|aus dem Kampf flüchten
str_pay_bandits|gemeine Banditen bestechen
str_fail_quest|Ihr versagtet bei einer Aufgabe, die Ihr im Namen der Ehre annahmt
str_treason_one|Ehre
str_missed_npc|Versagen.
str_squander_money|verschwendet das Geld, welches man Euch anvertraut hat
str_murder_merchant|begeht kaltblütigen Mord
str_round_up_serfs|beschafft Leibeigene für einige Adelige
str_battle_fate_1|Wir wurden in der Hitze des Gefechtes getrennt
str_battle_fate_2|Ich wurde verwundet und zum sterben zurückgelassen
str_battle_fate_3|Ich wurde von einem Feind bewusstlos geschlagen
str_battle_fate_4|Ich wurde wegen Lösegeld gefangen gehalten
str_battle_fate_5|Ich wurde gefangen genommen, aber habe es später geschafft zu entkommen
str_npc_morale_report|Ich bin {s6} Eurer Wahl der Begleiter, {s7} Eurer Art der Führung und {s8} dem Allgemeinen Stand der Dinge.
str_happy|glücklich mit
str_content|zufrieden mit
str_concerned|besorgt über
str_not_happy|überhaupt nicht glücklich mit
str_miserable|ausgesprochen entsetzt über
str_morale_reg1|Moral: {reg1}
str_bar_enthusiastic|Begeistert
str_bar_content|Zufrieden
str_bar_weary|Müde
str_bar_disgruntled|Verärgert
str_bar_miserable|Elendig
str_here_plus_space|hier
str_npc1_intro|Seid Gegrüßt, Kriegsherr. mein Name ist Caio. Mein Vater schickt mich zu Euch.
str_npc2_intro|Heil! Mein Name ist Egil.
str_npc3_intro|{reg59?Wer schickt Euch? Ich gehe nie zurück!:Kommt mir nicht zu nahe. Ich bin es leid von jeder Person missbraucht zu werden, die meinen Weg kreuzt!}
str_npc4_intro|Ja?
str_npc5_intro|Hallo, Reisender. Würdet Ihr einen mit mir trinken?
str_npc6_intro|Ich muss Euch etwas erzählen. Hört genau zu.
str_npc7_intro|Ja? Haltet Abstand.
str_npc8_intro|Was wollt Ihr?
str_npc9_intro|Ihr dort, gute(r) {reg59?women:man}. Seid Ihr so nett, und bringt mir ein anderes Getränk, äh?
str_npc10_intro|Gott schütze uns, {reg59?madame:sir}! Hier ist das Unheil und der Untergang der Waliser!
str_npc11_intro|Heil, {reg59?my pretty:handsome}. Ich habe Euch nun schon eine Weile beobachtet.
str_npc12_intro|Heil, {reg59?madame:sir}. Es freut mich Euch kennenzulernen.
str_npc13_intro|Ja? Was wollt Ihr?
str_npc14_intro|Heil, Reisender. Ich bin Ailchu, ein gälischer Krieger. Zweifellos habt Ihr von mir gehört.
str_npc15_intro|Hallo, hallo! Auf eure Gesundheit, {reg59?madame:sir}. Mein Name ist Agathinos. Ihr werdet nicht zufällig diesen Ort bald wieder verlassen?
str_npc16_intro|Ach... du... Ich...
str_npc1_intro_response_1|Ja. ich weiß. Erzählt mir ein wenig von Euch.
str_npc2_intro_response_1|Sprecht, Egil.
str_npc3_intro_response_1|Beruhigt Euch. Ich werde Euch nichts tun. Warum seid Ihr so ängstlich?
str_npc4_intro_response_1|Ihr seid wohl nicht sehr gesprächig, oder?
str_npc5_intro_response_1|Definitiv. Mit wem habe ich das Vergnügen einen Drink zu nehmen?
str_npc6_intro_response_1|Macht weiter so, Freund.
str_npc7_intro_response_1|Entschuldigt. Ich wollte lediglich sagen, dass Euch das Glück wohl ein wenig verlassen hat.
str_npc8_intro_response_1|Lediglich um die Zeit zu vertreiben, Ausländer, wenn Ihr nicht anderweitig beschäftigt seid.
str_npc9_intro_response_1|Ihr müsst mich mit jemand anderen verwechseln, Sir.
str_npc10_intro_response_1|Warum sagt Ihr das, Mann?
str_npc11_intro_response_1|Wer seid Ihr, und warum beobachtet Ihr mich?
str_npc12_intro_response_1|Es ist nett Euch kennen zu lernen.
str_npc13_intro_response_1|Um ein wenig Zeit mit einem Mitreisenden zu verbringen, wenn Ihr gestattet.
str_npc14_intro_response_1|Ähm... Ich denke nicht.
str_npc15_intro_response_1|Bin Ich. Welche Bedeutung hat es für Euch, wenn ich fragen darf?
str_npc16_intro_response_1|Seid Ihr des Redens müde?
str_npc1_intro_response_2|Ja, ich weiß, dass er möchte, dass Ihr Euch mir anschließt, aber ich brauche Euch nicht. Auf Wiedersehen.
str_npc2_intro_response_2|Ich habe Besseres zu tun.
str_npc3_intro_response_2|Verschwindet Mädchen. Ich habe echte Arbeit zu erledingen -- nicht was auch immer Ihr denkt, dass ich tue.
str_npc4_intro_response_2|Nein.
str_npc5_intro_response_2|Ich habe keine Zeit dafür.
str_npc6_intro_response_2|Ich habe Besseres zu tun.
str_npc7_intro_response_2|Rechts. Ich werde euch dann nicht mehr stören.
str_npc8_intro_response_2|Überhaupt nichts, von jemandem der so eindeutig abgeneigt von Nettigkeiten ist.. Guten Tag.
str_npc9_intro_response_2|Hol's selber!
str_npc10_intro_response_2|Das ist Rebellengeschwätz, und so was hör ich mir nicht an. Einen schönen Tag noch.
str_npc11_intro_response_2|Ich habe keine Zeit hierfür!
str_npc12_intro_response_2|Es tut mir leid, ich fürchte, ich bin gerade anderweitig beschäftigt.
str_npc13_intro_response_2|Gar nichts. Ich bitte um Verzeihung.
str_npc14_intro_response_2|Nein, und ich kann nicht sagen, dass ich unbedingt Eure Bekanntschaft zu machen wünsche.
str_npc15_intro_response_2|Ich wäre Euch zu Dank verpflichtet, wenn Ihr Euch um Eure eigenen Angelegenheiten kümmertet, mein Herr.
str_npc16_intro_response_2|Ich gehe. Wenn Ihr gelernt habt im richtigen Ton mit mir zu sprechen, lasst es mich wissen.
str_npc1_backstory_a|Kriegsherr, bin ich der jüngste Sohn des Mannes, der als der alte Römer bekannt ist. Wie Ihr wisst, ist meine Familie in dieser Gegend eine Legende. Wir bewahren die Geschichte unserer Vorfahren, die den Hadrianswall patrouillierten.
str_npc2_backstory_a|Ich erbitte ein wenig Eurer Zeit, {reg59?madame:sir}. Hört Euch meine Geschichte an. Ich bin von Wichtigkeit für Euch.
str_npc3_backstory_a|Ich... Es tut mir leid, aber bitte versteht doch. Mein Leben war die Hölle auf Erden seit ich Dienerin im Hause des Jarls von Kennemer wurde.
str_npc4_backstory_a|Ich bin ein Mann der Tat. Wenn Ihr einen Mann der Wörter wollt, sucht Euch einen Priester.
str_npc5_backstory_a|Ich bin Morgant von Bosvenegh. Jedoch wurde ich aus meiner Heimat vertrieben...
str_npc6_backstory_a|{reg59?Meine Dame:Herr}, ich wäre tot, aber ich lebe noch, während andere, die dass Leben Verdienen tot sind. Ich kam zu dem Schiff, das brachte mich nach Norden, zu Woden Ric, in einem Haus, mit seiner Mannschaft die wie meine Familie ist. Als  die Wikinger uns angegriffen haben, schnappte ich mein Schwert und mein Schild und war bereit, sie zu verteidigen, bis zum Tot.^^Die Kantabrier sind Christen, aber einige von uns sehen sie als alte Götter. Eine besonders Erudino, führt uns in die Schlacht, und ich schrie seinen Namen beim Angriff mit dem Schwert.
str_npc7_backstory_a|Mein Glück? So kann man das auch nennen.
str_npc8_backstory_a|Ah. Nun, wenn Ihr es unbedingt wissen müsst, werde ich es Euch sagen. Nicht viele Leute in dieser Gegend wollen dem guten alten Reginhard zuhören.
str_npc9_backstory_a|Meine aufrichtige Entschuldigung. Es ist manchmal schwer, Leute inmitten des Rauches und der Finsternis hier zu erkennen. Ich kann immer noch nicht glauben, dass ich mein Heim an einem solchen Ort errichten musste.
str_npc10_backstory_a|Es ist eine lange Geschichte, aber wenn Ihr Euch was zu trinken besorgt, so werde ich sie Euch erzählen.
str_npc11_backstory_a|Beruhigt euch, {reg59?meine Hübsche:Hübscher}. Es ist klüger, dankbar zu sein, aber erlaubt mir, mich vorzustellen. Mein Name ist Solveig Olafsdottir. Ich bin nicht nur irgendeine Frau. Ich bin eine Skjaldmo.
str_npc12_backstory_a|Ich denke es ist ein guter Zeitpunkt mich offiziell Vorzustellen, das es wahrscheinlich ist, dass sich unsere Wege Kreuzen. Ich bin Asbjorn aus Odinsve und ich bin ein Loeknir, ein einfacher Arzt der einige Zeit in Frankia verbracht hat und vor ein paar Monaten wieder nach Dänemark zurück kam.
str_npc13_backstory_a|Na schön. Ist mir egal. Mein Name ist Helgi, Schrecken der Dänen und Slawen.
str_npc14_backstory_a|Ihr habt nicht? Dann haben Sie vielleicht von meinem Ross gehört, das wie ein Mondschein über die Ebene schneidet? Oder von meinem Schwert, ein Kenner des Blutes der höchstgeborenen Fürsten von Hibernia?
str_npc15_backstory_a|Nun, lasst es mich Euch sagen. Ich bin Ingenieur, spezialisiert auf die Kunst der Befestigungen. Benötigt Ihr eine Wand die abgerissen werden muss, dann bin ich Ihr Mann. Benötigt Ihr eine Wand die wieder aufgebaut werden muss, Bin ich ihr Man aber das wird ein bisschen länger dauern und kostet Sie eine Menge mehr.
str_npc16_backstory_a|Verzeiht mir, {reg59?meine Dame:Herr}... Ich bin ein Mann Gottes, ein Priester Christi. Ihr seid {playername}...
str_npc1_backstory_b|Persönlich bin ich, ein sehr feiner Fährtenleser eigentlich bin ich der beste Fährtenleser, meine Mission war schon immer meine Familie  zu schützen seit, wir die Höhle verlassen haben. Befreien sie mich aus ihren Dienst, mein Vater hat ihnen einen großen gefallen getan.
str_npc2_backstory_b|Ich bin ein illegitimer Sohn König Horik's. Der König mag schöne Frauen und, nun ja, er traf meine Mutter unter den Zofen seiner Gattin. So bin ich hier gelandet, denke ich. Ich war glücklich, solange ich in Ribe war, doch schon bald sandte mich der König zu einem seiner Huskarle.^^Der Mann war stark und grob. Er bestand darauf mich im Speer- und Schwertkampf sowie in der Benutzung des Schildes zu unterweisen. Er verbot mir, Met zu trinken oder mit den Frauen zu verkehren. Könnt ihr glauben, dass jemand anderen solches Elend auferlegt?
str_npc3_backstory_b|Ich lebte in einem kleinen Dorf, Doccinga genannt. Ich war dort glücklich. Mein Vater Thonkrik sorgte gut für mich seit meine Mutter starb. Doch eines Tages rastete der Jarl von Kennemer in unserem Dorf und erblickte mich. Er, dieser Hund, zwang meinen Vater mich als Zofe für seine Frau an seinen Hof zu schicken. Er versprach, mich anständig zu behandeln, doch das war eine Lüge. Ich spreche nicht gerne darüber...Jedenfalls war ich ab diesem Zeitpunkt wirklich ein Sklave. Ich musste mich ihm und seinen Männern hingeben.
str_npc4_backstory_b|Was ihr wissen solltet ist, das mein Name Donnchadh von Dal Riata ist und ich Schotte bin.
str_npc5_backstory_b|Solange wir denken können, hat unsere Familie mit einem anderen nahe gelegenen Clan befehdet. Viele Männer sind in diesem Kampf auf beiden Seiten, darunter zwei meiner Brüder gestorben. Der König der Cornubia befahl uns aufzuhören, aber ich kenne meine Rechte und von meinen Brüders Bluts schreit nach Rache. Ich überfalllte und tötete einen Feind auf einem Bergpfad, und ich ritt aus unserer Halle in derselben Nacht, ohne auch nur die Möglichkeit, Abschied von meinem Vater zu nehmen. Später erfuhr ich, dass der König mich verbannt und meine edlen Rechte widerrufen hat. Ich bin nun dazu verurteilt, die Welt zu durchstreifen, für immer verbannt aus meine Heimat und meiner Familie.
str_npc6_backstory_b|Ich bin kein Idiot. Ich wusste, dass die Schlacht verloren war. Wir waren in der Unterzahl, und sie waren besser bewaffnet, aber ich fragte Erudino, ich werde so viele töten wie möglich bevor ich auf die Reise ins Paradies gehe. Ich hoffte, mein Opfer würde die, anderen zum fliehen oder würde  Angst unter den Wikingern auslösen, aber diese Wikinger waren gehärtete Männer, die ihre Arbeit bestens kannten. Ein halbes Dutzend von ihnen umgaben mich und haben mich geschlagen, während ihre Begleiter Woden Ric überfallen und getötet wurde, wen ich ihn den Weg stellte...
str_npc7_backstory_b|Es war mein Pech, von einem dummen piktischen Kriegsherren befohlen zu bekommen, den Wald in der Nacht zu erforschen. Es war mein Pech, dass der Feind einen sorgfältig geplanten Hinterhalt gelegt hatte und unsere kleine Kriegspartei erheblich in der Unterzahl war. Es war mein Pech, dass ich der einzige war, der es geschafft hatte, aus dem Blutvergießen zu entkommen. Es war mein Pech, daß der Kriegsrat mich für einen Verräter hielt, und ich in der Nacht von meinem Stamm fliehen musste. Es ist mein Pech, Euch all das in diesem Moment sagen zu müssen.
str_npc8_backstory_b|Ich wurde in Dorestad geboren. Mein Leben war nicht eben das, was man einfach nennt, doch ich war glücklich bis meine Frau und zwei Kinder an der Seuche vor zwei Jahren starben. Ich besaß einen Hof, müsst ihr wissen, und musste ihn verkaufen weil mich alles dort daran erinnert. Jetzt bin ich betrunken und ein Idiot und niemand will sich mit mir abgeben...bis ihr kamt.
str_npc9_backstory_b|Ich bin Frank, der erstgeborene meines Vaters und sein Erbe. Ich bin der mutigste Krieger in diesem Raum, aber als meine Mutter starb heiratete mein Vater wieder. Meine Stiefmutter wollte das ihr Sohn erbt, doch da sie nicht offen gegen mich vorgehen konnte versuchte sie es hinterrücks. Am nächsten Tag fütterte ich meinen Hund mit Essen, das man mir hingestellt hatte, und er starb qualvoll. Ich beschuldigte meine Stiefmutter, doch mein Vater war vollkommen betört von dieser Hexe und glaubte mir kein Wort. Er befahl mir aus seinen Augen zu gehen. 
str_npc10_backstory_b|Ich bin ein sächsischer Krieger. Ich habe mein ganzes Leben lang gegen die fate of Wessex gekämpft. Das Schicksal der Wessex ist, zu regieren. Es ist die Arroganz und Hass auf unsere Nachbarn, die verhindern, dass dieses Land unter einem einzigen König vereinheitlicht werden soll. So wie ich es sehe, kann nur ein sächsischer Herrscher oder mindestens ein Mann, der nicht die Arroganz jener Völker akzeptiert wirklich Frieden in dieses Land bringen.
str_npc11_backstory_b|An Eurem Gesicht sehe ich, dass Ihr nicht wisst, wovon ich spreche. Nun, muss ich zugeben, dass es nicht viele wie mich und hier sogar weniger als in meinem eigenen Land gibt, Northvegr. Die mich verstehen können, ist ein Skjaldmo eine Jungfrau, die den Weg der Waffen führt. Auch Poesie, Poesie und Krieg kommen aus dem gleichen Impuls.
str_npc12_backstory_b|Auf meinem Weg zurück nach Odinsve, landete ich in Ribe und beschloss dort zu bleiben für ein paar Monate und diente für die Einheimischen Eliten-- und normalen Bürger. Ich denke, meine Dienste verdienen genug Prestige um anerkannt zu werden.Auch findet in Althing in ein paar Tagen eine Versammlung statt.
str_npc13_backstory_b|Ich bin der zweite Sohn eines Hersirs vom Land östlich von Northvegr. Ich bin ein Svia Wikinger. Ich reiste nach Westen um mein Glück in Englaland zu suchen anders als viele meiner Landsleute, die ihr Glück im Osten bei den Russen suchen. Ich bin gut darin, Angriffe anzuführen und Männer in der Kriegskunst zu trainieren. Unglücklicherweise hat der Jarl hier keinen Sinn für meine Methoden, seinen Pöbelhaufen zu disziplinieren und zu Soldaten zu machen. Ich sagte ihm, daß es weiser ist, Sie jetzt zu schinden als sie später begraben zu müssen, doch er wollte nicht hören. Stattdessen sagte er mir, ich solle meine Dienste woanders anbieten.
