str_yes|Sí.
str_npc12_intro_response_2|Lo lamento, me temo que tengo otros compromisos ahora mismo.
str_npc13_intro_response_2|Nada en absoluto. Mis disculpas.
str_npc14_intro_response_2|No, y no puedo decir que me apetezca especialmente conoceros.
str_npc15_intro_response_2|Os agradecería que os ocuparais de vuestros propios asuntos, señor.
; str_npc16_intro_response_2|I'm going. When you learn to talk, let me know.
; str_npc1_backstory_a|Warlord, I am the youngest son of the man known as the old Roman. As you know, my family is a legend in this area. We preserve the history of our ancestors, who patrolled Hadrian's Wall.
; str_npc2_backstory_a|I crave a little of your time, {reg59?madame:sir}. Listen to my story. I am important to you.
; str_npc3_backstory_a|I... I am sorry, but please understand. My life has been a living hell since I became a maid in the house of the jarl of Kennemer.
; str_npc4_backstory_a|I am a man of action. If you want a man of words, find a priest.
; str_npc5_backstory_a|I am Morgant from Bosvenegh. However, I am exiled from my homeland for now...
; str_npc6_backstory_a|{reg59?Madam:Sir}, I should be dead, but I still live while others who should be alive are dead. I came to consider the ship that brought me north, the Woden Ric, as a home, with its crew as my family. So when the Vikings attacked, I grabbed my sword and my shield and prepared to defend them to the death.^^The Cantabrians are Christians, but some of us still remember the old gods. One in particular, Erudino, guides us in battle, and I shout his name while attacking with my sword.
str_npc7_backstory_a|¿Mala racha? Podría decirse que sí.
; str_npc8_backstory_a|Ah. Well, if you must know, I shall tell you. Not many people around here will listen to good old Reginhard.
str_npc9_backstory_a|Mis más sinceras disculpas. A veces es difícil reconocer a la gente entre el humo y la penumbra de este lugar. Aún no puedo creer que tenga que vivir en un sitio así.
str_npc10_backstory_a|Es una larga historia, pero si pedís un trago os la contaré de buen grado.
; str_npc11_backstory_a|Calm down, {reg59?my pretty:handsome}. It is wiser to be grateful, but allow me to introduce myself. My name is Solveig Olafsdottir. I'm not just any woman. I'm a skjaldmo.
; str_npc12_backstory_a|I think it's a good time to introduce myself officially, since it is likely that our paths are attached. I am Asbjorn from Odinsve, and I am a loeknir, a simple doctor who wasted some time in Frankia until I returned to Danmark some months ago.
; str_npc13_backstory_a|Very well. I do not mind. My name is Helgi, killer of Danes and Slavs.
; str_npc14_backstory_a|You have not? Then perhaps you have heard of my steed, which cuts across the plains like a beam of moonlight? Or of my sword, a connoisseur of the blood of the highest-born princes of Hibernia?
; str_npc15_backstory_a|Well, let me tell you. I'm an engineer who specializes in the art of fortification. If you need a wall knocked down, I am your man. If you need a wall built back up, I am your man too -- but that will take a bit longer and cost you a lot more.
; str_npc16_backstory_a|Excuse me, {reg59?madame:sir}... I am a man of God, a priest of Christ. You are {playername}...
; str_npc1_backstory_b|I, personally, am a very fine tracker. Actually, I am the best tracker around, as my mission has always been to protect my family when we left the caves. Releasing me to your service, my father has done you a great favor.
; str_npc2_backstory_b|I am a son of King Horik, but not a legitimate one. The king likes pretty women, and, well, he met my mother among the handmaids of his wife. So that's how I got here, I guess. I was happy during my childhood in Ribe, but soon the king sent me to live with one of his huskarls.^^The man was tough and violent. He insisted on teaching me how to handle the spear, sword and shield. He didn't let me drink mead or frequent the company of girls. Can you believe someone would inflict such hardship?
; str_npc3_backstory_b|I used to live in a small village, Doccinga. I was happy. My father, Thonkrik, cared a lot for me since my mother died. But, one day, the jarl of Kennemer stopped in our village, and he saw me. He, damn him, forced my father to send me to his house as a maid for his wife. He promised that he would respect me, but he lied. I don't like to speak of this... Well, since then I had really become a slave. I had to give myself to him and then to his men.
; str_npc4_backstory_b|What you ought to know is that my name is Donnchadh of Dal Riata and that I am a Scot.
; str_npc5_backstory_b|For as long as anyone can remember, our family has feuded with another nearby clan. Many men have died in this fight, on both sides, including two of my brothers. The king of Cornubia ordered us to cease, but I know my rights, and my brothers' blood cries out for vengeance. I waylaid and killed an enemy on a mountain path, and I rode out of our hall the same night, without even having the chance to bid farewell to my father. I was later told that the king exiled me and revoked my noble rights. I am now condemned to roam the world, forever banished from my homeland and my kin.
; str_npc6_backstory_b|I'm not an idiot. I knew that the battle was lost. We were outnumbered, and they were better armed, but I asked Erudino to let me kill as many as possible before my trip to paradise. I hoped my sacrifice would allow the others to flee or cause fear among the Vikings, but these Vikings were hardened men who knew their job well. Half a dozen of them surrounded me and beat me while their companions invaded the Woden Ric and killed whomever stood in their way...
; str_npc7_backstory_b|It was my bad luck to be ordered by a stupid Pictish warlord to scout the woods during the night. It was my bad luck that the enemy had laid a carefully planned ambush and considerably outnumbered our small war party. It was my bad luck that I was the only one who managed to escape from the bloodshed. It was my bad luck that the war council deemed me a traitor, and I had to flee from my tribe during the night. It is my bad luck to have you to tell all this to right now.
; str_npc8_backstory_b|I was born in Dorestad. My life has not exactly been easy, but I was happy until my wife and two children died of a plague two years ago. I had a farm, you know, and I sold it because everything in it reminded me of them. Now I'm a drunk and an idiot and no one wants to be with me... well, until you came along.
; str_npc9_backstory_b|I am a Frank, my father's first son, his heir and the bravest warrior in his hall, but when my mother died, my father remarried. His new wife thought that her son should inherit. She could not move against me openly, but the other day I fed a pot of suet that had been left out for me to one of my hounds, and it keeled over. I accused my stepmother, but my father, befuddled by her witchcraft, refused to believe me and ordered me to leave his sight.
; str_npc10_backstory_b|I am a Saxon warrior. I have fought my whole life against the Welsh, and Angles too. The fate of West Seaxe is to govern Englaland. It is the arrogance and hatred of our neighbors that prevents this land from being unified under a single king. The way I see it, only a Saxon ruler or at least a man that does not accept the arrogance of those peoples can truly bring peace to this land.
; str_npc11_backstory_b|By your face, I see you do not know what I'm talking about. Well, I must admit that there are not many like me, and here even less than in my own land, Northvegr. So you can understand, a skjaldmo is a virgin who takes the way of weapons. Also poetry, since poetry and war come from the same impulse.
; str_npc12_backstory_b|On my way back to Odinsve, I landed in Ribe and ended up staying here for a few months, serving the local elites -- and not so elites. I guess my services earned me enough prestige to be summoned as althing in the Assembly held a few days ago.
; str_npc13_backstory_b|I am the second son of a hersir from the land east of Northvegr. I am a Svia Viking. I traveled west to seek my fortune in Englaland, unlike many of my compatriots who seek their fortunes in the East with the Rus. I am good at leading assaults and training men in the art of war. Unfortunately, the jarl here has no taste for the disciplinary methods needed to turn that rabble of his into soldiers. I told him it was wiser to flog them now than bury them later, but he would not listen. Instead, he told me to take my services elsewhere.
; str_npc14_backstory_b|I have always been a warrior, not a farmer or anything else; only a warrior. I admit a modest affection for these lands, and for the past several years, I have visited their towns, forts, and villages, making the most of my particular talents.
; str_npc15_backstory_b|I am also an unfortunate man. I am originally from Konstantinoupolis, far away from here... Maybe you have heard of it. The Varangians call it Mikligard. A few years ago, a group of them kidnapped me and brought me here, to the far north. They made me a slave and sold me to the jarl of Hordaland. I worked for him until a few days ago, when I finally earned enough money to buy my freedom.
; str_npc16_backstory_b|Sorry... I am an idiot. Let me introduce myself. I am Beda. I joined the Holy Church when I was but a boy and eventually became a priest. I believe that even the toughest warrior has a place for Christ in his heart and that I can better fulfill the mission God gave to me in a shield wall than in a sacristy.
; str_npc1_backstory_c|For my part, I can only say that I was willing to travel and see the world. You have given me this opportunity. I am glad that, when my father asked my brothers and me who would pay his debt, I volunteered.
; str_npc2_backstory_c|Now I serve in the royal guard. I'm not particularly happy, since I'm in the shadow of hardened men who won the job by their efforts, while I was granted my position only by the virtue of being a bastard son of the king.
; str_npc3_backstory_c|I so desperately wanted to escape. If only I could start a new, free life...^^I know! You could take me with you! I could help mend the wounds of your warriors. I could even learn to be a warrior myself, if that's what it takes to be free again. Will you take me with you, {reg59?madame:sir}?
; str_npc4_backstory_c|Another important thing is that I do not like Picts. Yes, I know my people are ruled by the kings of Alban, but that does not mean they have become one people. We are Gaels, and not those rats.
; str_npc5_backstory_c|So, as a man robbed of his heritage, any opportunities to earn a living with my sword would be most welcome.
; str_npc6_backstory_c|I saw everyone down: the captain, the sailors, the archers that protected the boat... and I thought I myself was dead until I woke up in the Viking ship, tied hand and foot. I was a prisoner, but thank God, I escaped.^^Now, I am a miserable man before Erudino. I should be dead and the others alive. Now, I just live for redemption.
; str_npc7_backstory_c|But I do not count myself unlucky, stranger, no more than any other woman in this world. This fetid backwater is populated by apes and jackals that do not see that it is worth it to live another day just to kill the hated enemy, and that the way of the tracker and the hunter is better than the way of the ignorant warrior. 
; str_npc8_backstory_c|'Reginhard the Fool,' some call me here. Shit, I shouldn't even be here.
; str_npc9_backstory_c|I hope to offer my sword to some worthy warlord, as it is the only honorable profession for a man of my birth apart from owning land, but in the meantime, I am condemned to make my bed among thieves, vagabonds, merchants, and the other riff-raff of the road.
