str_yes|Si.
str_concerned|in ansia riguardo
str_not_happy|non del tutto felice riguardo
str_miserable|infelice riguardo
str_morale_reg1| Morale: {reg1}
str_bar_enthusiastic|                   Entusiasta
str_bar_content|              Contento
str_bar_weary|          Stanco
str_bar_disgruntled|     Scontento
str_bar_miserable|  Infelice
str_here_plus_space|qui
str_npc1_intro|Salve, signore della guerra. Il mio nome è Caio. Mio padre mi ha mandato.
str_npc2_intro|Heill! Il mio nome è Egil.
str_npc3_intro|{reg59?Chi ti ha mandato? Non indietreggerò!: Non avvicinarti. Sono stanco di essere abusato da ogni persona che incrocia il mio cammino!}
str_npc4_intro|Si?
str_npc5_intro|Salve, viaggiatore. Vorreste unirvi a me per una bevuta?
str_npc6_intro|Ho qualcosa da dirti. Ascolta bene.
str_npc7_intro|Si? Mantenete la distanza, per cortesia.
str_npc8_intro|Che cosa volete?
str_npc9_intro|Ehi tu, {reg59?brava donna:brav'uomo}, sii così gentile da andare a prendere un'altra bevuta, d'accordo?
str_npc10_intro|Il Vostro Dio li ha divisi, {reg59?Signora:Signore}! Questo è il castigo e la caduta di tutti i Gallesi!
str_npc11_intro|Heill, {reg59?mia bella:bello}. Ti ho osservato per un po' di tempo.
str_npc12_intro|Heill, {reg59?Signora:Signore}. Piacere di conoscerla.
str_npc13_intro|Sì? Di cosa cosa avete bisogno?
str_npc14_intro|Hail,  viaggiatori. Io sono Ailchu, un guerriero di Gael. Sicuramente avrete sentito parlare di me.
str_npc15_intro|Yeia sou! Yeia sou! Alla vostra salute, {reg59?Signora:Signore}. Il mio nome è Agathinos. C'è un modo di uscire da questo posto velocemente?
str_npc16_intro|Ah... si... Io...
str_npc1_intro_response_1|Sì lo so. Parlami di te.
str_npc2_intro_response_1|Parla, Egil.
str_npc3_intro_response_1|Calmati. Non voglio farti del male. Perchè hai paura?
str_npc4_intro_response_1|Non sei molto loquace, vero?
str_npc5_intro_response_1|Certamente. Con chi ho il piacere di bere?
str_npc6_intro_response_1|Continua, amico.
str_npc7_intro_response_1|Le mie scuse. Stavo solo per dire che sembrate un po' giù di morale.
str_npc8_intro_response_1|Solo per passare un po di tempo, straniero, se non hai altri impegni.
str_npc9_intro_response_1|Deve avermi confuso con un'altra persona, signore.
str_npc10_intro_response_1|Perché dite questo, signore?
str_npc11_intro_response_1|Chi sei, e perché mi stai guardando?
str_npc12_intro_response_1|Piacere di conoscerti.
str_npc13_intro_response_1|Vorrei passare la giornata con un viaggiatore come voi, se non avete nulla in contrario...
str_npc14_intro_response_1|Uhm... Non penso.
str_npc15_intro_response_1|Sono io. Perchè ti interessa, posso chiedere?
str_npc16_intro_response_1|Sei muto?
str_npc1_intro_response_2|Sì, lo so che vuole unirsi a me, ma non ho bisogno di voi. Addio.
str_npc2_intro_response_2|Ho cose migliori da fare.
str_npc3_intro_response_2|Andate via, donna. Ho da fare -- Non farò quello ce temete
str_npc4_intro_response_2|No.
str_npc5_intro_response_2|Non ho tempo per questo.
str_npc6_intro_response_2|Ho cose migliori da fare.
str_npc7_intro_response_2|D'accordo. Non vi assillerò allora.
str_npc8_intro_response_2|Nulla da una persona totalmente priva di buona creanza, a quanto vedo. Buon proseguimento.
str_npc9_intro_response_2|Andatevelo a prendere da solo!
str_npc10_intro_response_2|Questo è un discorso arrogante, non ascolterò altro. Buonagiornata a voi.
str_npc11_intro_response_2|Oh, non ho tempo per questo!
str_npc12_intro_response_2|Spiacente, ma ho altro da fare al momento.
str_npc13_intro_response_2|Niente affatto. Le mie scuse.
str_npc14_intro_response_2|No, e non posso dire ch'io muoia dalla voglia di fare la vostra conoscenza.
str_npc15_intro_response_2|Vi sarei grato se vi faceste gli affari vostri, signore.
str_npc16_intro_response_2|Io vado. Quando imparai a parlare, fammelo sapere.
str_npc1_backstory_a|Signore della guerra, io sono il figlio più giovane dell'uomo conosciuto come il vecchio Romano. Come sapete, la mia famiglia è una leggenda da queste parti. Preserviamo la storia dei nostri antenati, che pattugliavano il Vallo di Hadrian.
str_npc2_backstory_a|Bramo un po' del vostro tempo, {reg59?Signora:Signore}. Ascoltare la mia storia. Sono importante per voi.
str_npc3_backstory_a|Io... Mi dispiace, ma vi prego di capire. La mia vita è stata un inferno da quando sono diventata una cameriera nella casa di jarl di Kennemer.
str_npc4_backstory_a|Io sono un uomo d'azione. Se desiderate un uomo di parole, trovate un sacerdote.
str_npc5_backstory_a|Io sono Morgant da Bosvenegh. Tuttavia, sono esiliato dalla mia patria per ora...
str_npc6_backstory_a|{reg59?Signora:Signore}, dovrei essere morto, ma sono ancora vivo quando altri che dovrebbero essere vivi sono morti. Sono venuto a prendere in considerazione la nave che mi ha portato al Nord, La Woden Ric, come una casa, con il suo equipaggio come la mia famiglia. Così quando i Vichinghi attaccarono, ho afferrato la mia spada e il mio scudo e mi preparai per difenderla fino alla morte.^^I Cantabri sono cristiani, ma alcuni di noi ricordano ancora gli antichi dei. Uno in particolare, Erudino, ci guida in battaglia, e io grido il suo nome mentre attacco con la mia spada.
str_npc7_backstory_a|Parlate delle mie sventure? Potete ben dirlo !
str_npc8_backstory_a|Ah. Beh, se lo vuoi sapere, te lo dirò. Non molte persone qui intorno ascolterebbero il  buon vecchio Reginhard.
str_npc9_backstory_a|Le mie più umili scuse. A volte qui è difficile riconoscere la gente in mezzo al fumo e al buio. Ancora non riesco a credere che debba alloggiare in un luogo come questo.
str_npc10_backstory_a|È una lunga storia, ma se vi fate una bevuta, sarò lieto di raccontarvela.
str_npc11_backstory_a|Calmati, {reg59?mia bella:bello}. È più saggio essere grati, ma permettimi di presentarmi. Il mio nome è Solveig Olafsdottir. Io non sono una donna qualsiasi. Io sono un skjaldmo.
str_npc12_backstory_a|Penso sia un buon momento per presentarmi ufficialmente, poiché probabilmente le nostre strade sono collegate. Io sono Asbjorn da Odinsve, è sono un loeknir, un semplice dottore che sprecato qualche tempo in Francia, fino a quando sono tornato in Danimarca alcuni mesi fa.
str_npc13_backstory_a|Molto bene. Non mi dispiace. Il mio nome è Helgi, killer dei danesi e degli slavi.
str_npc14_backstory_a|No? Allora forse avrete sentito parlare del mio destriero, che attraversa le pianure come un raggio di luna...? O della mia spada, conoscitrice del sangue dei più importanti princìpi di Hibernia...?
str_npc15_backstory_a|Beh, mi permetta di dirle. Sono un ingegnere specializzato nell'arte della fortificazione. Se vi serve abbattere un muro, sono il vostro uomo. Se avete bisogno di un muro da fortificare, posso fare anche questo -- benché richieda più tempo e vi costerà di più.
str_npc16_backstory_a|Mi scusi, {reg59?signora:signore}... Io sono un uomo di Dio, un sacerdote di Cristo. Lei è {playername}...
str_npc1_backstory_b|Personalmente, sono un segugio molto abile. In realtà, sono il miglior  inseguitore inseguitore qui intorno, la mia missione è sempre stata quella di proteggere la mia famiglia da quando abbiamo lasciato le grotte. Affidandomi al vostro servizio, mio padre ha vi ha fatto un grande favore.
str_npc2_backstory_b|Io sono un figlio di re Horik, ma non legittimo. Al re "Piacciono" le belle donne, e, Beh, ha conosciuto mia madre tra le Ancelle di sua moglie. Ecco come sono arrivato qui, immagino. Ero felice durante la mia infanzia a Ribe, ma ben presto il re mi ha mandato a vivere con uno dei suoi huskarli.^^Eera un uomo duro e violento. Ha insistito per insegnarmi l'uso della lancia, della spada e scudo. Non mi lasciava bere idromele o frequentare ragazze. Credi che qualcuno dovrebbe sopportare tali difficoltà?
str_npc3_backstory_b|Ho vissuto in un piccolo villaggio, Doccinga. Sono stata felice. Mio padre, Thonkrik, si è preso molta cura di me quando è morta mia madre. Ma, un giorno, il jarl di Kennemer si è fermato nel nostro villaggio, e mi ha vista. Lui, accidenti a lui, ha costretto mio padre a mandarmi a casa sua come cameriera per sua moglie. Aveva promesso che mi avrebbe rispettata, ma ha mentito. Non mi piace parlare di questo... Beh, da allora sono davvero diventata una schiava. Ho dovuto concedermi a lui e ai suoi uomini.
str_npc4_backstory_b|Quello che devi sapere è che il mio nome è Donnchadh di Dal Riata e che sono uno scozzese.
str_npc5_backstory_b|A memoria d'uomo, il nostro clan e stato in lotta contro un clan vicino. Molti uomini sono morti in questa lotta, da entrambe le parti, tra cui due dei miei fratelli. Il re di Cornubia ci ha ordinato di cessare gli scontri, ma conosco i miei diritti, e il sangue dei miei fratelli grida vendetta. Ho teso un agguato e ucciso un nemico sul sentiero di montagna, ho cavalcato via dalla nostra sala la stessa notte, senza nemmeno avere la possibilità di dire addio a mio padre. Poi mi è stato riferito che il Re mi ha esiliato e revocato i miei diritti nobili. Sono ora condannato a vagare per il mondo, per sempre bandito dalla mia terra e dalla mia gente.
str_npc6_backstory_b|Io non sono un idiota. Sapevo che la battaglia era persa. Siamo rimasti in inferiorità numerica ed erano meglio armati di noi, ma ho chiesto a Erudino di farmi uccidere il maggior numero possibile di nemici prima del mio viaggio in paradiso. Speravo che il mio sacrificio avrebbe permesso agli altri di fuggire o che causasse paura tra i Vichinghi, ma questi Vichinghi sono uomini temprati che conoscono bene il loro lavoro. Una mezza dozzina di loro mi hanno circondato e battuto mentre i loro compagni hanno invaso Woden Ric e ucciso chiunque si trovasse sulla loro strada...
str_npc7_backstory_b|E ' stata mia sfortuna se sono  stato messo di pattuglia nel bosco di notte da uno stupido signore della guerra Pitto. E stata la mia sfortuna se il nemico aveva preparato un agguato attentamente pianificato e numericamente superiore della nostra pattuglia. E stata la mia sfortuna se sono l'unico che è riuscito a sfuggire da quel bagno di sangue. E stata la mia sfortuna se il Consiglio di guerra ha ritenuto che sono un traditore e sono dovuto fuggire dalla mia tribù durante la notte. "È stata la mia sfortuna" è tutto quello che ho da dire per il momento.
str_npc8_backstory_b|Sono nato a Dorestad. La mia vita non è stata molto facile, ma ero felice almeno fino a quando mia moglie e i nostri due bambini sono morti di peste due anni fa. Avevo una fattoria, sai, e l'ho venduta perché tutto lì mi ricordava loro. Ora sono un ubriacone e un idiota e nessuno si avvicina a me... Beh, fino a quando non sei arrivato tu.
str_npc9_backstory_b|Io sono un Franko, primogenito di mio padre, suo erede e il guerriero più coraggioso della sua sala, ma quando mia madre morì, mio padre si risposò. La sua nuova moglie pensava che suo figlio avrebbe dovuto ereditare tutto. Non poteva contrastarmi apertamente contro di me, ma l'altro giorno ho dato da mangiare un vasetto di strutto che era stato lasciato fuori per me ad uno dei miei cani ed è crollato. Ho accusato la mia matrigna, ma mio padre, confuso dalla sua stregoneria, si è rifiutato di credermi e mi ha ordinato di sparire dalla sua vista.
str_npc10_backstory_b|Io sono un guerriero sassone. Ho combattuto tutta la mia vita contro i Gallesi, e Angli. Il destino di West Seaxe è di governare l'Englaland. È l'arroganza e l'odio dei nostri vicini che impedisce di unificarci sotto l'unico re di questa terra. Dal mio punto di vista, solo un sovrano sassone o almeno un uomo che non accetta l'arroganza di questi popoli può veramente portare pace in questa terra.
str_npc11_backstory_b|Dalla tua faccia, vedo che non sai di cosa sto parlando. Beh, devo ammettere che non ci sono molti come me, e qui anche meno che nella mia terra, Northvegr. Ti spiego, una skjaldmo è una vergine che prende la via delle armi. Oltre che la poesia, perché la poesia e la guerra provengono dallo stesso impulso.
str_npc12_backstory_b|Al mio ritorno a Odinsve, sono approdato a Ribe e sono rimasto qui per qualche mese, poichè offre l'élite dei locali..-- non sono l'élite. Credo che i miei servizi mi hanno fatto guadagnare abbastanza prestigio da essere convocato come Althing nell'Assemblea tenuta pochi giorni fa.
str_npc13_backstory_b|Io sono il secondo figlio di un Hersir della terra a est di Northvegr. Sono Svia il Vichingo. Ho viaggiato ad ovest per cercare la mia fortuna ad Englaland, a differenza dei miei connazionali che cercano la loro fortuna a Oriente con il Rus. Io sono bravo a condurre gli assalti e nella formazione degli uomini nell'arte della guerra. Purtroppo, agli jarl di qui non gli piacciono i miei metodi disciplinari necessari per trasformare quella loro marmaglia in soldati. Gli ho detto che era più saggio frustarli ora che seppellirli più tardi, ma loro non hanno voluto ascoltarmi. Invece, mi ha detto di portare i miei servizi altrove.
str_npc14_backstory_b|Sono sempre stato un guerriero, non un contadino o qualsiasi altra cosa; solo un guerriero. Ammetto un certo affetto per queste terre, e c'ho passato parecchi anni, ho visitato le loro città, fortezze, e villaggi, rendendo la maggior parte dei miei talenti particolari.
str_npc15_backstory_b|Sono un uomo sfortunato. Sono originario di Konstantinoupolis, lontano da qui ... Forse ne avete sentito parlare. I Variaghi la chiamano Mikligard. Alcuni anni fa, un gruppo di loro mi ha rapito e mi ha portato qui, nel lontano nord. Mi hanno fatto schiavo e mi hanno venduto allo Jarl di Hordaland. Ho lavorato per lui fino a pochi giorni fa, quando ho finalmente guadagnato abbastanza soldi per comprare la mia libertà.
str_npc16_backstory_b|Mi dispiace ... Sono un idiota. Mi presento. Sono Beda. Mi sono unito alla Santa Chiesa quando ero un ragazzo e alla fine sono diventato un sacerdote. Credo che anche il guerriero più duro abbia un posto per Cristo nel suo cuore e che io possa svolgere meglio la missione che Dio mi ha dato: sia essa in mezzo ai soldati che in una sacrestia.
str_npc1_backstory_c|Dalla mia parte, posso solo dire che desideravo viaggiare e vedere il mondo. Tu mi hai dato questa opportunità. Sono contento che, quando mio padre ha chiesto a me e ai miei fratelli, che avremmo dovuto pagare il suo debito, io mi sono offerto volontario.
