qstr_Breaking_camp...|Stai smantellando l'accampamento...
qstr___Bodo_seems_overcom|--Bodo smbra sopraffatto dalla gioia.--
; qstr_Note_Bodo:_With_your|Note Bodo: With your decision to deliver the letter of the king of Asturias to the Danish, Bodo felt betrayed. The Cantabrian has left your party and threatened you with death if you return to find him.
; qstr___His_face_goes_from|--His face goes from bewilderment to uncontrolled fury.--
qstr___Brunhild_comes_up_|--Brunilde ti abbraccia calorosamente.--
qstr___His_eyes_are_a_wel|--I suoi occhi sono un pozzo di dolore e le lacrime gli solcano le guance.--
qstr___Egil_bares_his_tee|--Egil digrigna i denti. Sembra arrabbiato.--
; qstr_Note_Reginhard:_Regi|Note Reginhard: Reginhard betrayed you at the Assembly, and you had to kill him in a holmgang decreed by the Assembly. In the end, you drove Egil out of your party, offended by his insolence and disrespect.
qstr_Your_men_think_that_|I tuoi uomini pensano che Egil sia un buon capo.
qstr___He_seems_surprised|--Sembra sorpreso, sorpresa che presto si trasforma in rabbia.--
qstr_Your_men_think_that_y|I tuoii uomini pensano che sei un lcapo forte, ma gli mancherà il carisma di Egil.
; qstr_Note_Egil:_Reginhard|Note Egil: Reginhard betrayed you at the Assembly, but you spared his life. However, Egil did not accept your decision, and you had to kill him in a holmgang by the laws of Thing.^In the end, you drove Reginhard out of your party, unable to forgive his betrayal.
; qstr_Note_Egil:_Reginhard_|Note Egil: Reginhard betrayed you at the Assembly, but you spared his life. However, Egil did not accept your decision, and you had to kill him in a holmgang by the laws of Thing.^In the end, you killed Reginhard, too, unable to forgive his betrayal.
; qstr_Note_Egil:_Reginhard_b|Note Egil: Reginhard betrayed you at the Assembly, but you spared his life. However, Egil did not accept your decision, and you had to kill him in a holmgang by the laws of Thing.^You forgave Reginhard of treason and let him remain in your company.
qstr___Reginhard_gathers_|--Reginhard Raccoglie le sue cose e se ne va.--
qstr_Your_men_think_that_yo|I tuoi uomini pensano che sei un capo debole che non punisce il tradimento.
; qstr___You_approach_Regin|--You approach Reginhard and slice deep into his neck with a knife. You watch how he collapses, losing blood, until his eyes are closed.--
qstr_Your_men_think_that_you|I tuoi uomini pensano che sei un capo forte che punisce il tradimento.
qstr___He_seems_happy_to_|--Sembra feclice di sentirtelo dire.--
qstr_Your_men_think_that_you_|I tuoi uomini pensano che sei un capo debole che permette il tradimento.
; qstr___He_pushes_the_jar_|--He pushes the jar aside and drops his head.--
qstr___He_looks_at_you_wit|--Ti guarda con le lacrime agli occhi..--
; qstr_Reginhard_has_joined|Reginhard has joined you. He informs you that Thiaderd and his men are at the foot of the mountains due east of Dorestad. Thiaderd's group is strong. Perhaps you ought to be accompanied by a large group of men who support you.
qstr_{s21}_seems_unhappy.|{s21} sembra infelice.
qstr_high|Alto
qstr_low|Basso
qstr_normal|normale
qstr_Christianity|Cristianesimo
qstr_Norse_gods|Dei nordici
; qstr_The_subjects_of_our_|The subjects of our kingdom officially believe in {s4}. Collected records indicate {reg13} people have adopted our faith.
; qstr_The_subjects_of_our_k|The subjects of our kingdom officially believe in {s4}. Collected records indicate {reg13} people have given up our faith.
qstr_the_{s12}|{s12}
qstr_the_{s11}_and_{s12}|{s11} e {s12}
qstr_the_{s11}_{s12}|{s11}, {s12}
qstr_We_are_quite_happy_n|Siamo abbastanza soddisfatti di non essere in guerra con nessuno.
qstr_We_are_at_war_with_{|Siamo in guerra con {s12}.
qstr___He_seems_pleased._|--Sembra contento.--
qstr___He_seems_upset.__|--Sembra irritato.--
qstr___He_seems_distresse|--Sembra afflitto.--
; qstr___He_looks_at_you_with|--He looks at you with his shoulders slumped. He looks dejected.--
qstr___He_looks_with_grie|--Ti guarda addolorato.--
; qstr___He_spits_on_the_gr|--He spits on the ground, his features hard, sadness giving way to anger--
qstr_Thiaderd_is_dead._Br|Thiaderd è morto. Porta la notizia allo jarl di {s3}.
qstr___He_looks_over_your|--Guarda oltre la tua spalla in lontananza..--
qstr___He_puts_his_hand_on|--Mette una mano sulla tua spalla e ti sorride.--
qstr___He_turns_away_from|--Si allontana da te con una smorfia.--
qstr___He_nods._You_note_|--annuiscie. noti della preoccupazione nei suoi occhi.--
qstr_{playername}_when_we|{playername}, quando abbiamo cominciato il nostro lungo cammino, poche persone avevano il coraggio di aiutarmi. E ancor meno avevano il coraggio di mettere le loro vite a rischio per la mia causa. Non hanno però esitato un attimo a gettarsi nella mischia contro i miei nemici. Siamo andati avanti insieme, e c'erano tempi nei quali stavo per perdere ogni speranza. Ma con l'aiuto di Dio, siamo riusciti a prevalere. Ora per me è il momento di lasciare la vostra Compagnia e di prendere ciò che è mio di diritto. D'ora in poi, sopporterò la grande responsabilità di governare {s3}. Ci sono ancora molte sfide dinnanzi a noi e conto sul vostro aiuto per superarle. Certamente, rimarrete sempre il mio primo vassallo.
qstr_Find_and_speak_with_|Trova {s3} del {s4} e parlagli per porgere i tuoi omaggi e prestare giuramento.
qstr__We_will_of_course_n| Sarà ovviamente necessario attendere fino a che il regno avrà terminato la campagna militare.
; qstr_I_do_not_like_this_b|I do not like this, but things are very bad. Can you give guarantees?
; qstr_Well_I_guess_I_can_a|Well, I guess I can admit defeat. I guess you will treat us well, no?
qstr_Perhaps..._Do_you_gi|Forse... Ci date la vostra parola d'onore che saremo trattati bene?
; qstr_There_comes_a_time_w|There comes a time when every good leader must be responsible for the welfare of his men. Do you give your word of honour that we'll be treated well?
; qstr_The_fort_has_been_de|The fort has been defended by lions, and we leave it with our heads high. You can guarantee our safety?
; qstr_Well_I_guess_I_can_ad|Well, I guess I can admit defeat. We will leave the fort, but I want your promise that you will not attack us.
qstr_We_are_ready_to_leav|Siamo pronti a lasciarvi il forte e marciare lontano da qui, se promettete che ci lascerete andare senza danno.
; qstr_There_comes_a_time_wh|There comes a time when every good leader must be responsible for the welfare of his men. We leave the fort. I want your promise that you will not attack us.
; qstr_You_re_nothing_but_s|You're nothing but scum. You should leave before we kill you.
qstr_You_re_wasting_your_|Stai perdendo il tuo tempo. Attaccaci - se ne ai il coraggio.
qstr_You_have_called_me_f|Mi hai chiamato per dirmi questo? Non ci arrenderemo mai a gente come voi.
qstr_Surrender?_Hah!_We_c|Arrenderci? Hah! Possiamo tenere queste mura fino morire di vecchiaia, mentre tu non potrai di certo.
qstr_8000|8000
qstr_5000.|5000.
qstr_3000|3000
qstr_2000.|2000.
qstr_1000|1000
qstr_{s6}_has_joined_your|{s6} si è unito alla Compagnia
qstr_{s1}_Rebels|{s1} Ribelli
qstr_I_am_{s4}_the_ruler_|Sono {s4}, il governatore di {s6}
qstr_I_am_{s4}_a_vassal_o|Sono {s4}, vassallo di {s6}
qstr_{s7}_and_{s8}|{s7} e {s8}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? e il signore di {s8}.:.
qstr_My_name_is_{s4}_and_|Il mio nome è {s4}, e arrivo da {s8}.Sto cercando avventure e gloria sui campi di battaglia.
qstr___The_ugly_face_of_a|--La Brutta faccia di un uomo sorridente appare prima di te.--
; qstr_Fergus_Mael_Bresail_|Fergus, Mael Bresail's man at the farm, told you that the feast was prepared for twenty-five people. You must bring more companions.
; qstr_Fergus_Mael_Bresail_s|Fergus, Mael Bresail's man at the farm, told you that the feast was prepared for twenty-five people. You must dismiss or leave the rest of your men at a nearby camp. Then, return to him.
; qstr_Around_you_everybody|Around you, everybody becomes busy on the farm as the feast starts.
; qstr_The_chronicler_has_p|The chronicler has promised to write about your life and proclaim to the world that you are Konungr of the Norse if you subjugate the Norse towns: {s3}, {s9} and {s11}.
; qstr_The_chronicler_has_pr|The chronicler has promised to write about your life and proclaim to the world that you are the Vrenhin Lloegr if you subjugate the Briton towns: {s3}, {s9} and {s11}.
qstr_The_chronicler_has_pro|Il cronista ha promesso di scrivere della tua vita proclamndo al mondo che tu sei il Ard Ruire di Eriu se sottometterai le città Gaeliche: {s3}, {s9} e {s11}.
; qstr_The_chronicler_has_prom|The chronicler has promised to write about your life and proclaim to the world that you are the Brytenwalda over all Englaland if you subjugate the Angle and Saxon towns: {s3}, {s9} and {s11}.
; qstr_Mael_Bresail_has_use|Mael Bresail has used you to kill Flaithbertach's children. Now, many of the lords of northern Ireland hate you for being a murderer of royalty. Your options are limited, but it seems that all involve meeting with Mael Bresail on his farm near {s3}. He promised to give you a lot of peningas. Whatever you decide at this meeting will determine your destiny.
; qstr_Mael_Bresail_has_used|Mael Bresail has used you to kill Flaithbertach's children. Now, many of the lords of northern Ireland hate you for being a murderer of royalty. Your options are limited, but it seems that all involve meeting with Mael Bresail on his farm near {s3}. Whatever you decide at this meeting will determine your destiny.
; qstr_Note_4:_You_chose_to|Note 4: You chose to spare Mael Bresail's life. Both of you made oaths to not cross ways ever again.
qstr_Note_4:_Morrigan_for|Nota 4: Morrigan ti obbliga a porre fine alla vita di Mael Bresail.
qstr_Note_4:_You_killed_M|Nota 4: Hai ucciso Mael Bresail per vendicare il suo agguato alla fattoria.
qstr_Morrigan_has_died._R|Morrigan è morta. Ritorna dall'abate per ottenere la tua ricompensa e forse qualche risposta.
qstr_Note_3:_You_chose_to|Nota 3: Hai scelto di uccidere Morrigan.
qstr_Oh_I_m_no_murderer..|Oh, non sono un assassino... Sto solo cercando di aiutare Bal Luighne. (Flemmatico)
qstr_My_duty_is_but_to_pr|Questo è il mio dovere ma devo anche proteggere il popolo di Bal Luighne. (Malinconico)
qstr_I_am_not_a_murderer.|Io non sono un assassino. Hai attaccato Bal Luighne e ora io ti ucciderò. (Irascibile)
qstr_My_only_goal_is_to_k|Il mio unico obiettivo è quello di ucciderti per quello che hai fatto a Bal Luighne, strega (Sanguigno)
qstr_Morrigan_has_joined_|Morrigan si è unita alla tua compagnia. Ritorna dall'abate per ottenere la tua ricompensa e forse qualche risposta.
qstr_Note_3:_You_chose_to_|Nota 3: Hai scelto di risparmiare la vita di Morrigan e di cercare risposte da Mael Bresail. Morrigan ha aderito alla tua compagnia.
qstr_My_parents_gave_me_t|I miei genitori mi hanno dato il nome di {playername}. Io sono il terzo campione che stavate aspettando. (Flemmatico)
qstr_Well_I_am_{playernam|Bene, Io sono {playername}, il terzo campione. (Malinconico)
qstr_My_name_is_{playerna|Il mio nome è {playername}. Il terzo campione. (Irascibile)
qstr_I_am_{playername}._A|Io sono {playername}, il terzo campione, sono onorato di conoscervi. (Sanguigno)
; qstr_Ah_well_we_were_wait|Ah, well, we were waiting outside the old, burned-out pagan's place. You made us wait quite a long time.
qstr_Now_you_decide_to_sh|Decidi di presentarti. Arrivi in ritardo.
; qstr_Yes_yes_I_see_and_yo|Yes, yes, I see, and you have grandma. Anyway, we waited several days for your arrival, and I'm not as sure as you that it was worth it.
; qstr_Short_and_polite!_Th|Short and polite! That's fine. Too bad you have not left us time for proper ceremony, late as you are.
; qstr_After_being_defeated|After being defeated by Morrigan, you met the other two champions, Aed and Olchobar. After talking to them, you have parted ways. They will follow Morrigan while you go back to {s3}. It looks like Caliacas has problems.
qstr_Note_2:_Despite_thei|Nota 2: Nonostante la loro codardia e il rifiuto di contribuire a sconfiggere Morrigan, hai risparmiato le vite degli altri due campioni nel covo di Morrigan.
qstr_Note_2:_You_chose_ki|Nota 2: Hai8scelto di uccidere gli altri campioni per la loro codardia nella tana di Morrigan.
; qstr_Note_3:_Without_rega|Note 3: Without regard to Ulf's rules, you decided to let Egil and Thora have a conversation.
; qstr_Note_3:_You_decided_|Note 3: You decided to respect Ulf's rules and protect the dignity of his daughter, Thora.
; qstr_Note_3:_Without_regar|Note 3: Without regard to Ulf's rules, you decided to have a romance with Thora, his daughter.
qstr_{s9}_has_good_relati|{s9} è in buoni rapporti con te.
; qstr___Ulf_seems_very_hap|--Ulf seems very happy. He carries in his hands the sword and chainmail of Orm Svarti.--
qstr_Thanks_for_sharing_y|Grazie per aver condiviso il tuo bere e il tuo cibo con noi, Ulf. (Flemmatico)
qstr_Thanks_for_sharing_yo|Grazie per aver condiviso il tuo bere e il tuo cibo con noi, Ulf. (Malinconico)
qstr_Sour_milk_and_butter|Latte acido e pane imburrato? Non hai niente di meglio? (Irascibile)
qstr_Sour_milk_and_buttere|Latte acido e pane imburrato? Accetteremo la vostra povera ospitalità, ma mi aspettavo di meglio da un uomo come te. (Sanguigno)
; qstr___He_spits_out_what_|--He spits out what he was eating and throws away his skvr horn.--
qstr___She_raises_her_han|--Alza le mani, chiedendo calma.--
qstr___He_applauds.__|--Applaude.--
qstr_Your_men_think_that_you_a|I tuoi uomini pensano che sei un buon capo
qstr_{s11}_thinks_that_yo|{s11} pensa che sei un capo debole.
qstr_{s14}|{s14}
qstr_Your_men_think_that_you_ar|I tuoi uomini pensano che sei un capo debole.
; qstr___Both_stop_surprise|--Both stop, surprised by your authoritative tone. Egil turns to you, nervous.--
qstr_{s11}_thinks_that_you|{s11} pensa che sei un buon capo.
; qstr___Ulf_watches_mouth_|--Ulf watches, mouth agape, as Egil and Reginhard, followed by many of your men, assail his warehouse.--
; qstr_You_fought_a_duel_wi|You fought a duel with Orm the Black and killed him, saving Ulf's farmstead and his daughter, Thora. Ulf has promised he will not testify against you in the Assembly and not ask compensation for Thora's pregnancy.
